Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2021-06-23,NYSE Chicago (M),2909565,837742,2449064,6196371,217040621.936200,245651128.340000,378003464.633300,840695214.909500,10202,1113,10091,21406
2021-06-23,NYSE (N),823504678,30807561,55207483,909519722,44188293404.128494,2308085482.668600,2793622132.691801,49290001019.488895,3345426,107515,414687,3867628
2021-06-23,NYSE Arca (P),194931401,205801291,325996874,726729566,9240510598.993499,15011361069.507898,15454480706.003711,39706352374.505108,1996575,893534,2750695,5640804
2021-06-23,NASDAQ (Q),398770148,132153445,906409266,1437332859,21222339721.855400,10464000233.250904,53130391274.939492,84816731230.045796,4847235,792379,7207820,12847434
2021-06-23,Members Exchange (U),88592724,44802010,115664816,249059550,2598662937.626700,2037899068.608700,2553870095.151201,7190432101.386601,776012,189401,725568,1690981
2021-06-23,Investors Exchange (V),109807334,21694357,91198275,222699966,7110283444.541499,1530134255.945600,7092423707.473300,15732841407.960399,1311115,146552,1166886,2624553
2021-06-23,NASDAQ PSX (X),24994408,16479200,24736942,66210550,877012429.100000,1226623175.819400,1395410700.818100,3499046305.737500,196896,74417,193931,465244
2021-06-23,BYX Equities (Y),55326454,29588525,43547694,128462673,2131956863.985400,2163711292.567401,2185189742.125600,6480857898.678401,622530,170550,510594,1303674
2021-06-23,BZX Equities (Z),156485166,78278415,147079736,381843317,8205690240.564099,6474857221.053700,10343685413.518898,25024232875.136697,1977239,490571,1803204,4271014
2021-06-22,NYSE American (A),10069886,33150094,7258061,50478041,392543688.490000,497348040.770100,331668118.980100,1221559848.240200,174401,99059,107131,380591
2021-06-22,NASDAQ BX (B),23575571,11810448,23600289,58986308,1155147222.461700,1079099820.817200,1643806123.047700,3878053166.326600,332436,82748,330473,745657
2021-06-22,NYSE National (C),48387460,24799776,25952037,99139273,1433133854.620000,1173653432.526400,994917925.347600,3601705212.494000,528867,124696,331780,985343
2021-06-22,FINRA / Nasdaq TRF Chicago (DB),6453714,2910729,13910984,23275427,327537476.035700,111400194.625100,620568966.756900,1059506637.417700,43421,9192,64327,116940
2021-06-22,FINRA / NYSE TRF (DN),226423627,145357585,501917767,873698979,9337118962.326701,4563713806.877101,16326549638.740706,30227382407.944508,1263271,297324,1765075,3325670
2021-06-22,FINRA / Nasdaq TRF Carteret (DQ),1229892350,514037266,1683221113,3427150729,61042192315.864420,27052058817.188214,71569544017.336684,159663795150.389318,6184399,1530861,6754253,14469513
2021-06-22,MIAX Pearl (H),13796630,9161487,12589263,35547380,647680432.992100,573357802.366700,836571403.665200,2057609639.024000,163681,52823,136389,352893
2021-06-22,EDGA Equities (J),57773775,27047005,49375967,134196747,3186417224.358400,1818089994.977000,3068260781.457900,8072768000.793300,926188,209197,794417,1929802
2021-06-22,EDGX Equities (K),244490391,96713510,352336401,693540302,10781505929.374000,5521640320.974200,14771296914.902802,31074443165.251002,2155156,477075,2377943,5010174
2021-06-22,LTSE (L),2470,684,19383,22537,861840.790000,27880.570000,1253324.230000,2143045.590000,73,12,321,406
2021-06-22,NYSE Chicago (M),6023391,3443170,1854041,11320602,408252386.198000,336363985.485000,457510552.751900,1202126924.434900,10941,1140,10507,22588
2021-06-22,NYSE (N),919722684,32071601,57994874,1009789159,50445684979.967403,2528205594.468100,2977708949.259801,55951599523.695304,3586755,116783,439662,4143200
2021-06-22,NYSE Arca (P),201626582,213659376,342081373,757367331,9872904842.304197,16058658936.260609,15532312472.589198,41463876251.154004,2146436,909780,2824547,5880763
2021-06-22,NASDAQ (Q),404664149,133313608,949498086,1487475843,22227118668.858699,10931942067.230501,57568469960.521585,90727530696.610785,5126795,822147,7369855,13318797
2021-06-22,Members Exchange (U),91232622,49086633,108533057,248852312,2820380084.330000,2062469341.716100,2691025878.598900,7573875304.645000,840653,202091,753008,1795752
