Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2024-10-15,NASDAQ BX (B),10538519,11704548,15582764,37825831,783613766.838100,541643239.626400,850532607.434900,2175789613.899400,156300,75969,173403,405672
2024-10-15,NYSE National (C),12362666,12399339,15710620,40472625,422057956.816600,412950893.112100,446088549.672700,1281097399.601400,150645,63052,128315,342012
2024-10-15,FINRA / Nasdaq TRF Chicago (DB),6349654,3987021,15461344,25798019,299316337.886600,153544642.116100,1131091997.739600,1583952977.742300,61119,20550,131205,212874
2024-10-15,FINRA / NYSE TRF (DN),66504036,49640401,243448296,359592733,2921449132.823600,2231681715.518801,5262772224.611903,10415903072.954304,539458,221061,752968,1513487
2024-10-15,FINRA / Nasdaq TRF Carteret (DQ),1680795962,1011487016,3132219331,5824502309,87623689187.813072,56890893036.021831,132880776897.636197,277395359121.471100,13446456,3752730,15416708,32615894
2024-10-15,MIAX Pearl (H),54173676,75336878,91518081,221028635,1336642818.585900,2606223803.479100,2289163383.148900,6232030005.213900,484843,259690,522672,1267205
2024-10-15,EDGA Equities (J),23890180,21695627,66755336,112341143,1194202672.806100,896164132.672100,1353990342.306900,3444357147.785100,325842,121745,337359,784946
2024-10-15,EDGX Equities (K),151825963,161266512,449248521,762340996,6622690193.962700,7336366383.201801,17754881955.087108,31713938532.251609,1342623,806363,2475116,4624102
2024-10-15,LTSE (L),14317509,2792541,15174498,32284548,1534041953.013500,465646968.140300,1455947984.849500,3455636906.003300,115798,9221,106363,231382
2024-10-15,NYSE Chicago (M),7117162,8405325,9821889,25344376,422212191.541200,1184642221.438200,1806874235.819200,3413728648.798600,16773,8626,20234,45633
2024-10-15,NYSE (N),935604255,52130237,87152258,1074886750,56008885169.456000,2797590483.055400,4248544065.873899,63055019718.385299,3785163,197952,622923,4606038
2024-10-15,NYSE Arca (P),183215183,418091870,679327322,1280634375,9651871800.659299,24657930015.578401,20660485200.488694,54970287016.726394,2187093,1843597,4119549,8150239
2024-10-15,NASDAQ (Q),413607628,211968668,1278083665,1903659961,25081490816.100097,14467297889.243789,85494191223.324274,125042979928.668160,6333491,1308008,10076914,17718413
2024-10-15,Members Exchange (U),57381347,56619947,169363521,283364815,2575658639.119000,2806007205.311200,4751622649.721796,10133288494.151996,751872,282915,938307,1973094
2024-10-15,Investors Exchange (V),158518056,65638476,141327468,365484000,9581087746.274602,3494759015.893901,8925851751.773797,22001698513.942300,1848585,321712,1573403,3743700
2024-10-15,NASDAQ PSX (X),6103829,7314825,9168076,22586730,409732534.581700,547588134.285200,571067285.005800,1528387953.872700,97880,38103,127998,263981
2024-10-15,BYX Equities (Y),28480552,20791781,38441822,87714155,1248683796.188000,940909315.478700,1494601722.822300,3684194834.489000,389017,119901,381674,890592
2024-10-15,BZX Equities (Z),169717412,141792097,229086514,540596023,9617985049.495300,9009240405.354401,13768906194.292598,32396131649.142299,2560569,783132,2515765,5859466
2024-10-14,NYSE American (A),4144152,11420029,4893050,20457231,200015489.009600,204994063.905700,220414819.206300,625424372.121600,49653,48014,41397,139064
2024-10-14,NASDAQ BX (B),8014454,8512228,10546800,27073482,495013715.865200,390581833.311600,581267531.487200,1466863080.664000,111877,59966,127690,299533
2024-10-14,NYSE National (C),10075144,10061299,12976856,33113299,319339478.815700,283724571.826700,323147041.995300,926211092.637700,121408,44795,104445,270648
2024-10-14,FINRA / Nasdaq TRF Chicago (DB),5946521,3154747,14906537,24007805,255561420.166100,136173237.883900,1009127671.559600,1400862329.609600,59894,20058,140097,220049
2024-10-14,FINRA / NYSE TRF (DN),56642755,38493494,164112678,259248927,2344282490.082501,1565731836.720100,4651065493.436703,8561079820.239304,462317,165835,644947,1273099
2024-10-14,FINRA / Nasdaq TRF Carteret (DQ),1345423089,673013281,2423287389,4441723759,67206948032.323660,35542767348.254984,103991124925.387847,206740840305.966491,11307689,3034085,13544043,27885817
2024-10-14,MIAX Pearl (H),39441543,46275093,63451504,149168140,998007908.675000,1649180567.931100,1562083091.746300,4209271568.352400,372607,161884,409180,943671
