quarter,year,tier,ats_name,total_trades,total_shares,mpid
1,2025,nms,JPB-X,24174219.00,3001601594.00,JPBX
1,2025,nms,VIRTU MATCHIT ATS,27812924.00,2953371635.00,KCGM
1,2025,nms,IBKR ATS,19402420.00,2940462500.00,IATS
1,2025,nms,POSIT,9957993.00,2259847652.00,ITGP
1,2025,nms,CROSSSTREAM,5642277.00,1937896471.00,XSTM
1,2025,nms,CBX,23807202.00,1822148855.00,ICBX
1,2025,nms,CITI-ONE ATS,11045451.00,1092155973.00,ONEC
1,2025,nms,BNPP CORTEX ATS,11325272.00,1041855403.00,BNPX
1,2025,nms,MS RPOOL (ATS-6),9516704.00,913417946.00,MSRP
1,2025,nms,LIQUIDNET H2O ATS,236225.00,913134360.00,LQNA
1,2025,nms,INSTINET BLOCKCROSS,228053.00,909265523.00,BLKX
1,2025,nms,BOATS,6436750.00,826904151.00,BLUE
1,2025,nms,DEALERWEB,5439.00,713659264.00,DLTA
1,2025,nms,LIQUIDNET NEGOTIATION ATS,12403.00,330885700.00,LQNT
1,2025,nms,CODA,1864482.00,207717981.00,CODA
1,2025,nms,LUMINEX ATS,7354.00,179918778.00,LMNX
1,2025,nms,IBKR EOS ATS,426063.00,67362298.00,IEOS
1,2025,nms,ALPHAX US,423403.00,49023461.00,ALPX
1,2025,nms,STIFEL X,438829.00,36555824.00,STFX
1,2025,nms,MOON ATS,631.00,113007.00,MOON
1,2025,nms,BRUCE ATS,13.00,21.00,BOSS
2,2025,nms,INTELLIGENT CROSS LLC,283869790.00,24789077336.00,INCR
2,2025,nms,UBS ATS,229875180.00,19116485910.00,UBSA
2,2025,nms,SIGMA X2,201940667.00,12557291781.00,SGMT
2,2025,nms,LEVEL ATS,195341942.00,9618942757.00,EBXL
2,2025,nms,MS POOL (ATS-4),37188974.00,8542906891.00,MSPL
2,2025,nms,INSTINCT X,83378538.00,8367738189.00,MLIX
2,2025,nms,MS TRAJECTORY CROSS (ATS-1),77377911.00,7313051302.00,MSTX
2,2025,nms,PURESTREAM,103544141.00,5093097294.00,PURE
3,2023,otc,OTC LINK NQB IDQS,706526.00,16230724909.00,OTCN
3,2023,otc,OTC LINK ECN ATS,659922.00,753455309.00,OTCX
3,2023,otc,GLOBAL OTC,1114487.00,380797269.00,ARCA
3,2023,otc,"TZERO ATS, LLC",2293.00,741521.00,PROS
3,2023,otc,LODAS SECURITIES ALTERNATIVE TRADING SYSTEM,83.00,515738.00,ALTS
3,2023,otc,"VARIABLE INVESTMENT ADVISORS, INC.",34.00,298005.00,VIAT
3,2023,otc,NORTH CAPITAL PRIVATE SECURITIES CORPORATION,37296.00,188358.00,PPEX
3,2023,otc,"FNC AG STOCK, LLC",47.00,38555.00,FNCA
3,2023,otc,SECURITIZE MARKETS ATS,26.00,1250.00,SMKT
